===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-09-30 00:11:12
count workspace : /home/jeremias/SGIColegio
total files : 426
total code lines : 195112
total comment lines : 12327
total blank lines : 14254

.editorconfig, code is 11, comment is 1, blank is 2.
.eslintignore, code is 1, comment is 0, blank is 0.
.eslintrc, code is 3, comment is 0, blank is 0.
.gitignore, code is 19, comment is 0, blank is 0.
.yo-rc.json, code is 3, comment is 0, blank is 0.
bd 26 sep.sql, code is 274, comment is 249, blank is 204.
client/.editorconfig, code is 11, comment is 1, blank is 2.
client/.gitignore, code is 22, comment is 21, blank is 5.
client/angular.json, code is 117, comment is 0, blank is 6.
client/browserslist, code is 10, comment is 1, blank is 2.
client/e2e/protractor.conf.js, code is 25, comment is 6, blank is 2.
client/e2e/src/app.e2e-spec.ts, code is 18, comment is 1, blank is 4.
client/e2e/src/app.po.ts, code is 9, comment is 0, blank is 2.
client/e2e/tsconfig.json, code is 12, comment is 0, blank is 1.
client/karma.conf.js, code is 29, comment is 3, blank is 1.
client/package-lock.json, code is 9671, comment is 0, blank is 0.
client/package.json, code is 53, comment is 0, blank is 0.
client/README.md, code is 7, comment is 1, blank is 12.
client/src/app/app-routing.module.ts, code is 41, comment is 1, blank is 5.
client/src/app/app.component.css, code is 0, comment is 0, blank is 0.
client/src/app/app.component.html, code is 6, comment is 0, blank is 2.
client/src/app/app.component.spec.ts, code is 31, comment is 0, blank is 4.
client/src/app/app.component.ts, code is 8, comment is 0, blank is 1.
client/src/app/app.module.ts, code is 84, comment is 3, blank is 11.
client/src/app/aulas/aulas.module.ts, code is 19, comment is 0, blank is 1.
client/src/app/aulas/componentes/asignar-cursos/asignar-cursos.component.css, code is 27, comment is 0, blank is 7.
client/src/app/aulas/componentes/asignar-cursos/asignar-cursos.component.html, code is 130, comment is 16, blank is 39.
client/src/app/aulas/componentes/asignar-cursos/asignar-cursos.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/aulas/componentes/asignar-cursos/asignar-cursos.component.ts, code is 105, comment is 28, blank is 20.
client/src/app/aulas/componentes/aulas/aulas.component.css, code is 27, comment is 0, blank is 7.
client/src/app/aulas/componentes/aulas/aulas.component.html, code is 53, comment is 9, blank is 11.
client/src/app/aulas/componentes/aulas/aulas.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/aulas/componentes/aulas/aulas.component.ts, code is 96, comment is 4, blank is 13.
client/src/app/aulas/componentes/crear-aula/crear-aula.component.css, code is 18, comment is 0, blank is 5.
client/src/app/aulas/componentes/crear-aula/crear-aula.component.html, code is 26, comment is 5, blank is 4.
client/src/app/aulas/componentes/crear-aula/crear-aula.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/aulas/componentes/crear-aula/crear-aula.component.ts, code is 52, comment is 3, blank is 9.
client/src/app/aulas/componentes/editar-aula/editar-aula.component.css, code is 18, comment is 0, blank is 4.
client/src/app/aulas/componentes/editar-aula/editar-aula.component.html, code is 24, comment is 5, blank is 8.
client/src/app/aulas/componentes/editar-aula/editar-aula.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/aulas/componentes/editar-aula/editar-aula.component.ts, code is 63, comment is 3, blank is 8.
client/src/app/componentes/confirm-dialog/confirm-dialog.component.css, code is 10, comment is 0, blank is 2.
client/src/app/componentes/confirm-dialog/confirm-dialog.component.html, code is 17, comment is 0, blank is 0.
client/src/app/componentes/confirm-dialog/confirm-dialog.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/confirm-dialog/confirm-dialog.component.ts, code is 132, comment is 3, blank is 16.
client/src/app/componentes/cursos/agregar-curso/agregar-curso.component.css, code is 17, comment is 0, blank is 5.
client/src/app/componentes/cursos/agregar-curso/agregar-curso.component.html, code is 30, comment is 6, blank is 8.
client/src/app/componentes/cursos/agregar-curso/agregar-curso.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/cursos/agregar-curso/agregar-curso.component.ts, code is 34, comment is 0, blank is 7.
client/src/app/componentes/cursos/cursos.component.css, code is 0, comment is 0, blank is 0.
client/src/app/componentes/cursos/cursos.component.html, code is 2, comment is 0, blank is 0.
client/src/app/componentes/cursos/cursos.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/componentes/cursos/cursos.component.ts, code is 14, comment is 0, blank is 5.
client/src/app/componentes/cursos/editar-curso/editar-curso.component.css, code is 21, comment is 0, blank is 5.
client/src/app/componentes/cursos/editar-curso/editar-curso.component.html, code is 26, comment is 5, blank is 5.
